Brand,Average_Age,Place
Porter Airlines Canada,1.6,1
Wizz Air UK,2.4,2
STARLUX Airlines,2.8,3
Wizz Air Malta,3.1,4
JetSMART,3.4,5
SAS Connect,3.6,6
Sky Airline,4.4,7
flynas,4.5,8
IndiGo,4.6,9
Air Baltic,4.6,9
Akasa Air,4.6,9
Peach,4.7,10
Frontier Airlines,4.9,11
Pegasus,5.0,12
Horizon Air,5.3,13
Kuwait Airways,5.3,13
Chengdu Airlines,5.4,14
Air Astana,5.6,15
Breeze Airways,5.6,15
Cebu Pacific,5.7,16
flyadeal,5.8,17
Spirit Airlines,5.9,18
Colorful Guizhou Airlines,5.9,18
flydubai,5.9,18
Loong Air,6.2,19
Wizz Air,6.4,20
ITA Airways,6.4,20
Flair Airlines,6.5,21
China Express Airlines,6.6,22
Qingdao Airlines,6.7,23
Volaris,6.7,23
Air Travel,6.9,24
Cebgo,6.9,24
FlyArystan,6.9,24
Tigerair Taiwan,6.9,24
Aeromexico,7.0,25
Azimuth Airlines,7.0,25
Porter Airlines,7.1,26
Scoot,7.1,26
Virgin Atlantic,7.1,26
Air Cairo,7.2,27
Clic,7.3,28
Gulf Air,7.3,28
Neos,7.3,28
Norwegian Air Sweden AOC,7.3,28
VietJetAir,7.3,28
Tibet Airlines,7.5,29
VistaJet,7.5,29
Juneyao Airlines,7.6,30
Hong Kong Express,7.6,30
Caribbean Airlines,7.7,31
Oman Air,7.7,31
Viva Aerobus,7.7,31
Qatar Airways Cargo,7.8,32
Spring Airlines,7.9,33
Azul,7.9,33
Sky Express,8.0,34
Air India,8.1,35
Malta Air,8.1,35
Singapore Airlines,8.2,36
Buzz,8.2,36
Pobeda,8.2,36
Alliance Air,8.3,37
Jiangxi Air,8.5,38
Ethiopian Airlines,8.6,39
Kunming Airlines,8.6,39
Aegean Airlines,8.7,40
AeroLogic,8.8,41
Etihad Airways,8.9,42
9 Air,8.9,42
Air India Express,8.9,42
Batik Air Malaysia,8.9,42
Donghai Airlines,8.9,42
KLM Cityhopper,8.9,42
SAS Scandinavian Airlines,8.9,42
Alaska Airlines,9.0,43
EVA Air,9.0,43
Air Europa,9.0,43
Air Macau,9.0,43
Helvetic Airways,9.0,43
Royal Jordanian,9.0,43
US-Bangla Airlines,9.0,43
China Southern Airlines,9.2,44
easyJet Switzerland,9.2,44
Uzbekistan Airways,9.2,44
China Eastern Airlines,9.3,45
Aeroflot - Russian Airlines,9.3,45
Lucky Air,9.3,45
Turkish Airlines,9.4,46
Iraqi Airways,9.4,46
WestJet Encore,9.4,46
China Airlines,9.5,47
China United Airlines,9.5,47
Sichuan Airlines,9.5,47
Air Japan,9.6,48
Transavia France,9.6,48
Vietnam Airlines,9.6,48
Xiamen Airlines,9.7,49
Jazeera Airways,9.7,49
West Air,9.7,49
Air China,9.8,50
Hainan Airlines,9.8,50
Shanghai Airlines,9.8,50
Qatar Airways,9.9,51
Avianca,9.9,51
Copa Airlines,9.9,51
MEA - Middle East Airlines,9.9,51
TUI Airways,9.9,51
Aer Lingus Regional,10.0,52
Asky Airlines,10.1,53
Hebei Airlines,10.1,53
Iberia,10.1,53
Lufthansa Cargo,10.1,53
Mesa Airlines,10.1,53
Okay Airways,10.1,53
Saudi Arabian Airlines,10.2,54
Air Arabia,10.2,54
Envoy,10.2,54
Red Wings,10.2,54
Thai Airways,10.3,55
Air Busan,10.3,55
easyJet Europe,10.3,55
TUI fly Belgium,10.3,55
Malaysia Airlines,10.4,56
TAP Air Portugal,10.4,56
Jetstar Airways,10.5,57
Jetstar Japan,10.5,57
Norwegian Air Shuttle,10.5,57
AirAsia,10.6,58
Batik Air,10.6,58
FDA - Fuji Dream Airlines,10.6,58
PAL Airlines,10.6,58
Philippine Airlines,10.6,58
Thai AirAsia,10.6,58
Ryanair,10.7,59
Air New Zealand,10.7,59
Iberia Express,10.8,60
Shenzhen Airlines,10.8,60
Biman Bangladesh Airlines,10.8,60
Fuzhou Airlines,10.8,60
GOL,10.8,60
Korean Air,10.9,61
LATAM Airlines Brasil,10.9,61
Thai Lion Air,10.9,61
Wings Air,10.9,61
Emirates,11.0,62
Capital Airlines,11.0,62
Chongqing Airlines,11.0,62
Corendon Airlines,11.0,62
Tianjin Airlines,11.0,62
WestJet,11.0,62
easyJet,11.1,63
China Eastern Yunnan Airlines,11.1,63
Citilink,11.1,63
J-Air,11.1,63
TUIfly,11.1,63
Urumqi Air,11.1,63
Condor,11.2,64
EgyptAir,11.2,64
Shandong Airlines,11.3,65
ThaiVietjetAir,11.3,65
Vueling,11.4,66
All Nippon Airways,11.4,66
Swiss,11.5,67
Air Transat,11.5,67
LOT - Polish Airlines,11.5,67
PAL express,11.5,67
Ruili Airlines,11.5,67
Southwest Airlines,11.6,68
SriLankan Airlines,11.7,69
SunExpress,11.8,70
TAAG - Linhas Aereas de Angola Airlines,11.8,70
Aerolineas Argentinas,12.0,71
Air Canada,12.1,72
Japan Airlines,12.1,72
CityJet,12.2,73
GX Airlines,12.2,73
Rossiya - Russian Airlines,12.2,73
JetBlue,12.3,74
Cathay Pacific,12.3,74
Luxair,12.3,74
Smartwings,12.4,75
Transavia,12.4,75
Asiana Airlines,12.5,76
Air Nostrum,12.5,76
Turkmenistan Airlines,12.5,76
Air France,12.6,77
LATAM Airlines Chile,12.6,77
Aer Lingus,12.6,77
Lion Air,12.6,77
Eurowings Europe Malta,12.8,78
S7 Airlines,12.8,78
AJet,13.0,79
Garuda Indonesia,13.0,79
Olympic Air,13.0,79
Royal Air Maroc,13.0,79
Hawaiian Airlines,13.1,80
AZAL Azerbaijan Airlines,13.1,80
PSA Airlines,13.3,81
TAROM,13.3,81
Discover Airlines,13.4,82
Republic Airlines,13.4,82
Skymark Airlines,13.4,82
Yamal Airlines,13.4,82
Air Hong Kong,13.6,83
AirAsia X,13.6,83
Hong Kong Airlines,13.6,83
Jin Air,13.6,83
Virgin Australia,13.6,83
BA Cityflyer,13.7,84
Kenya Airways,13.7,84
T'Way Air,13.7,84
Eurowings,13.8,85
KLM Royal Dutch Airlines,13.9,86
ANA Wings,14.0,87
American Airlines,14.1,88
British Airways,14.1,88
MASwings,14.1,88
Air Serbia,14.2,89
Portugália Airlines,14.2,89
SkyWest Airlines,14.2,89
Super Air Jet,14.2,89
Jet2,14.3,90
Air France Hop,14.3,90
Tassili Airlines,14.3,90
Bangkok Airways,14.4,91
El Al Israel Airlines,14.4,91
Indonesia AirAsia,14.4,91
SpiceJet,14.4,91
Lufthansa,14.5,92
Finnair,14.6,93
Jeju Air,14.6,93
Jazz Air,14.7,94
Allegiant Air,14.8,95
Delta Air Lines,15.1,96
Air Dolomiti,15.1,96
Icelandair,15.1,96
Aerolitoral,15.4,97
Sunstate Airlines,15.5,98
Endeavor Air,15.6,99
United Airlines,15.7,100
Avion Express Malta,15.7,100
Ural Airlines,15.8,101
Nordwind Airlines,16.0,102
Qantas,16.1,103
Ryanair UK,16.2,104
Pelita Air Service,16.4,105
Cargolux,16.5,106
Flybondi,16.9,107
Avelo Air,17.0,108
National Jet Express,17.0,108
Brussels Airlines,17.1,109
Philippines AirAsia,17.1,109
SmartLynx,17.1,109
Alpha Star,17.2,110
Conviasa,17.2,110
Enter Air,17.2,110
Air Algerie,17.3,111
Lufthansa CityLine,17.3,111
SmartLynx Malta,17.4,112
PIA Pakistan International Airlines,17.5,113
Lauda Europe,17.7,114
SCAT Airlines,17.7,114
FedEx Express,17.8,115
Sun Country Airlines,17.9,116
Voepass,17.9,116
Mountain Air Cargo,18.0,117
Aurora,18.2,118
Austrian Airlines,18.2,118
Volotea Airlines,18.2,118
Airlink,18.4,119
ASL Airlines Ireland,18.5,120
AirX Charter,18.6,121
DHL Air UK,18.8,122
Iran Air,19.1,123
Air Canada Rouge,19.2,124
Edelweiss Air,19.5,125
Buddha Air,19.6,126
FlySafair,20.0,127
Airfast Indonesia,20.1,128
GlobalX Airlines,20.3,129
BA Euroflyer,20.6,130
Empire Airlines,20.6,130
CommuteAir,20.8,131
GoJet Airlines,20.8,131
Amelia,20.9,132
Atlas Air,21.1,133
Boliviana de Aviacion (BoA),21.1,133
Loganair,21.2,134
UTair Aviation,21.3,135
CemAir,21.7,136
Eastern Australia Airlines,21.7,136
Air Peace,21.8,137
Eastern Airways,21.8,137
ASL Airlines Belgium,22.0,138
Kalitta Air,22.0,138
United Parcel Service (UPS),22.1,139
Piedmont Airlines,22.5,140
Air Wisconsin,22.7,141
SkyWest Charter,22.7,141
China Postal Airlines,23.0,142
ASL Airlines France,23.5,143
Widerøe,23.6,144
Danish Air Transport (DAT),23.8,145
Contour Aviation,23.9,146
Alliance Airlines,24.0,147
JSX,24.1,148
Maersk Air Cargo,24.2,149
Amerijet,24.7,150
Network Aviation,24.7,150
Swiftair,25.3,151
Air Niugini,25.4,152
Amazon Prime Air,25.9,153
Omni Air International,26.2,154
DHL Air Austria,26.6,155
Canadian North,26.7,156
SF Airlines,27.1,157
EAT Leipzig,27.6,158
interCaribbean Airways,28.1,159
Azur Air,28.2,160
Mahan Air,28.2,160
Aircraft Leasing Services (ALS),29.4,161
Eastern Air Express,29.6,162
Freight Runners Express,30.0,163
Western Global Airlines,30.1,164
ATA Airlines,30.2,165
Eastern Airlines,30.3,166
West Atlantic UK,30.5,167
Cargojet Airways,30.7,168
Kalitta Charters II,30.8,169
REX Airlines,30.9,170
Air Transport International,31.2,171
Summit Air,31.2,171
Maldivian,31.5,172
Airwork,31.6,173
SprintAir,31.6,173
Sideral Linhas Aereas,32.2,174
Berry Aviation,32.3,175
Ameriflight,32.7,176
Iran Airtour,33.1,177
Voyageur Airways,33.1,177
Trigana Air Service,33.4,178
Perimeter Aviation,33.8,179
ABX Air,33.9,180
Air Creebec,34.2,181
Air Inuit,34.8,182
Aeronaves TSM,36.2,183
Trans Maldivian Airways,46.9,184
