feature,importance
is_rush_hour_arr,0.09061864
arrival_dayofweek,0.076697834
is_rush_hour_dep,0.069877245
tsc_sky_cover,0.051673397
wind_speed_kt,0.050736956
departure_dayofweek,0.049195148
t_wind_speed_kt,0.044962566
departure_delay_minutes,0.04473148
arrival_hour_local,0.040740717
is_month_end,0.038219616
is_month_start,0.033017997
departure_hour_local,0.03204538
t_wind_dir_degrees,0.031856585
msc_sky_cover,0.031005895
flight_duration_hours,0.027968632
departure_month,0.022690162
wind_dir_degrees,0.022190193
departure_day,0.019646564
t_visibility_statute_mi,0.01888032
cat__dep_weather_impact_none,0.018842012
cat__overall_weather_impact_none,0.01762619
airport_flight_count,0.016569445
cat__arr_weather_impact_none,0.015827501
airline_flight_count,0.015559241
weather_severity_dep,0.013895178
arr_visibility_affected,0.011966235
dep_wind_affected,0.009028593
arr_wind_affected,0.008683006
is_weekend,0.007949935
flight_duration_minutes,0.007896598
cat__arr_weather_simplified_LIGHT_WEATHER,0.0073095644
visibility_statute_mi,0.0071769455
cat__dep_weather_simplified_THUNDERSTORM,0.007022394
t_wind_gust_kt,0.0067302324
dep_has_convective,0.0055535235
weather_severity_arr,0.005075705
arr_has_convective,0.004884313
wind_gust_kt,0.0041547194
cat__arr_weather_impact_low,0.003650329
cat__dep_weather_simplified_FOG,0.0028587752
dep_visibility_affected,0.002241039
cat__dep_weather_simplified_LIGHT_WEATHER,0.002039881
cat__arr_weather_simplified_FOG,0.0007032881
departure_quarter,0.0
cat__arr_weather_simplified_ICING,0.0
cat__dep_weather_simplified_HAIL,0.0
dep_has_icing,0.0
arr_has_icing,0.0
cat__dep_weather_simplified_RAIN,0.0
cat__dep_weather_simplified_SNOW,0.0
cat__arr_weather_impact_medium,0.0
cat__dep_weather_impact_medium,0.0
cat__arr_weather_simplified_THUNDERSTORM,0.0
cat__dep_weather_impact_low,0.0
cat__arr_weather_simplified_SNOW,0.0
cat__arr_weather_simplified_RAIN,0.0
cat__overall_weather_impact_medium,0.0
cat__overall_weather_impact_low,0.0
