code_iata;icao_code;timezone;gmt_offset;raw_offset;dst_offset;name;ordre
ORD;KORD;America/Chicago;-6;-6;-5;Chicago O'Hare International Airport;1
IST;LTFM;Europe/Istanbul;3;3;3;Istanbul Airport;2
ATL;KATL;America/New_York;-5;-5;-4;Hartsfield-Jackson Atlanta International Airport;3
LAX;KLAX;America/Los_Angeles;-8;-8;-7;Los Angeles International Airport;4
PVG;ZSPD;Asia/Shanghai;8;8;8;Shanghai Pudong International Airport;5
CDG;LFPG;Europe/Paris;1;1;2;Paris Charles de Gaulle Airport;6
AMS;EHAM;Europe/Amsterdam;1;1;2;Amsterdam Airport Schiphol;7
FRA;EDDF;Europe/Berlin;1;1;2;Frankfurt Airport;8
DFW;KDFW;America/Chicago;-6;-6;-5;Dallas/Fort Worth International Airport;9
LHR;EGLL;Europe/London;0;0;1;London Heathrow Airport;10
JFK;KJFK;America/New_York;-5;-5;-4;John F. Kennedy International Airport;11
DXB;OMDB;Asia/Dubai;4;4;4;Dubai International Airport;12
MAD;LEMD;Europe/Madrid;1;1;2;Adolfo Suárez Madrid–Barajas Airport;13
MIA;KMIA;America/New_York;-5;-5;-4;Miami International Airport;14
AYT;LTAI;Europe/Istanbul;3;3;3;Antalya Airport;15
BOS;KBOS;America/New_York;-5;-5;-4;Logan International Airport;16
HND;RJTT;Asia/Tokyo;9;9;9;Tokyo International Airport;17
BCN;LEBL;Europe/Madrid;1;1;2;Josep Tarradellas Barcelona–El Prat Airport;18
EWR;KEWR;America/New_York;-5;-5;-4;Newark Liberty International Airport;19
DEN;KDEN;America/Denver;-7;-7;-6;Denver International Airport;20
HKG;VHHH;Asia/Hong_Kong;8;8;8;Hong Kong International Airport;21
YYZ;CYYZ;America/Toronto;-5;-5;-4;Toronto Pearson International Airport;22
PMI;LEPA;Europe/Madrid;1;1;2;Palma de Mallorca Airport;23
FCO;LIRF;Europe/Rome;1;1;2;Leonardo da Vinci–Fiumicino Airport;24
SFO;KSFO;America/Los_Angeles;-8;-8;-7;San Francisco International Airport;25
KUL;WMKK;Asia/Kuala_Lumpur;8;8;8;Kuala Lumpur International Airport;26
MUC;EDDM;Europe/Berlin;1;1;2;Munich International Airport;27
BKK;VTBS;Asia/Bangkok;7;7;7;Suvarnabhumi Airport;28
SIN;WSSS;Asia/Singapore;8;8;8;Singapore Changi Airport;29
ATH;LGAV;Europe/Athens;2;2;3;Athens Eleftherios Venizelos International Airport;30
BOG;SKBO;America/Bogota;-5;-5;-5;El Dorado International Airport;31
PEK;ZBAA;Asia/Shanghai;8;8;8;Beijing Capital International Airport;32
SEA;KSEA;America/Los_Angeles;-8;-8;-7;Seattle-Tacoma International Airport;33
CGK;WIII;Asia/Jakarta;7;7;7;Soekarno-Hatta International Airport;34
SYD;YSSY;Australia/Sydney;11;10;10;Sydney International Airport;35
CLT;KCLT;America/New_York;-5;-5;-4;Charlotte Douglas International Airport;36
MCO;KMCO;America/New_York;-5;-5;-4;Orlando International Airport;37
LGW;EGKK;Europe/London;0;0;1;London Gatwick Airport;38
DUB;EIDW;Europe/Dublin;0;0;1;Dublin Airport;39
VIE;LOWW;Europe/Vienna;1;1;2;Vienna International Airport;40
ZRH;LSZH;Europe/Zurich;1;1;2;Zurich Airport;41
SAW;LTFJ;Europe/Istanbul;3;3;3;Sabiha Gökçen International Airport;42
MNL;RPLL;Asia/Manila;8;8;8;Ninoy Aquino Manila International Airport;43
IAH;KIAH;America/Chicago;-6;-6;-5;George Bush Intercontinental Airport;44
DOH;OTHH;Asia/Qatar;3;3;3;Hamad International Airport;45
